name,core,rc,routing,init_s,lookup_s,exec_s,wall_s,init_peak_mem_gb,exec_peak_mem_gb,cache_references,cache_misses,cache_miss_rate,perf_file
dragonfly-h2-rb-ar-1MB,31,0,RuleBased,0.038625,0.012751,12.2771,15.030472993850708,0.019012451171875,0.13236618041992188,,,,
dragonfly-h2-bfs-ar-1MB,32,0,NodeBfs,0.047392,0.026855,13.9135,15.029216527938843,0.020320892333984375,0.1336212158203125,,,,
dragonfly-h2-rb-ar-8MB,33,0,RuleBased,0.038818,0.487498,74.0439,75.0902738571167,0.018856048583984375,0.4090995788574219,,,,
dragonfly-h2-bfs-ar-8MB,34,0,NodeBfs,0.047646,0.115501,70.4916,75.08908748626709,0.020267486572265625,0.4095191955566406,,,,
dragonfly-h2-bfs-ar-16MB,36,0,NodeBfs,0.047533,0.238189,112.949,115.12782001495361,0.020267486572265625,0.45456695556640625,,,,
dragonfly-h2-rb-ar-16MB,35,0,RuleBased,0.038824,1.48942,117.815,120.13498568534851,0.01885986328125,0.4580039978027344,,,,
dragonfly-h2-bfs-ar-64MB,38,0,NodeBfs,0.047718,0.485808,342.579,345.36171889305115,0.020244598388671875,0.5347404479980469,,,,
dragonfly-h2-rb-ar-64MB,37,0,RuleBased,0.039001,7.25261,352.884,355.3740670681,0.01904296875,0.543975830078125,,,,
dragonfly-h2-bfs-ar-128MB,40,0,NodeBfs,0.04792,0.734657,646.487,650.6697423458099,0.02022552490234375,0.5423126220703125,,,,
dragonfly-h2-rb-ar-128MB,39,0,RuleBased,0.038598,14.8713,656.62,660.6820485591888,0.0189971923828125,0.5509719848632812,,,,
