name,core,rc,routing,init_s,lookup_s,exec_s,wall_s,init_peak_mem_gb,exec_peak_mem_gb,cache_references,cache_misses,cache_miss_rate,perf_file
fattree-k32-bfs-ar-1MB,42,0,NodeBfs,430.219,19.6984,1094.41,1566.617517709732,17.340900421142578,31.905818939208984,,,,
fattree-k32-rb-ar-1MB,41,0,RuleBased,6.12412,73.1517,2215.36,2232.303903579712,0.48151397705078125,15.0396728515625,,,,
fattree-k32-rb-ar-8MB,43,0,RuleBased,3.0008,130.059,5812.39,5825.8266677856445,0.4813194274902344,42.154544830322266,,,,
fattree-k32-bfs-ar-8MB,44,0,NodeBfs,897.176,252.237,7670.58,8613.444102525711,17.341182708740234,58.47528076171875,,,,
fattree-k32-rb-ar-16MB,41,0,RuleBased,3.00586,216.587,8870.77,8883.910122871399,0.481475830078125,42.15469741821289,,,,
fattree-k32-bfs-ar-16MB,41,0,NodeBfs,278.914,178.436,8967.65,9284.395076990128,17.341075897216797,58.48196029663086,,,,
