name,core,rc,routing,init_s,lookup_s,exec_s,wall_s,init_peak_mem_gb,exec_peak_mem_gb,cache_references,cache_misses,cache_miss_rate,perf_file
fattree-k16-rb-ar-1MB,11,0,RuleBased,0.386572,1.02267,133.284,140.15247631072998,0.07547378540039062,2.0440826416015625,,,,
fattree-k16-bfs-ar-1MB,12,0,NodeBfs,3.92028,2.62016,135.536,145.1552345752716,0.3620643615722656,2.330699920654297,,,,
fattree-k16-rb-ar-8MB,13,0,RuleBased,0.39234,11.9937,638.696,640.6324172019958,0.07555770874023438,5.505290985107422,,,,
fattree-k16-bfs-ar-8MB,14,0,NodeBfs,3.8542,11.539,645.293,650.6418824195862,0.36203765869140625,5.779376983642578,,,,
fattree-k16-bfs-ar-16MB,16,0,NodeBfs,3.84963,21.3018,1102.77,1111.098712682724,0.36196136474609375,5.780647277832031,,,,
fattree-k16-rb-ar-16MB,15,0,RuleBased,0.392433,32.6921,1122.32,1126.1160056591034,0.07547760009765625,5.506809234619141,,,,
fattree-k16-rb-ar-64MB,17,0,RuleBased,0.392183,146.556,3887.15,3888.7670595645905,0.07559967041015625,5.509574890136719,,,,
fattree-k16-bfs-ar-64MB,18,0,NodeBfs,3.94876,80.1737,3913.86,3923.801901102066,0.36217498779296875,5.782966613769531,,,,
fattree-k16-rb-ar-128MB,19,0,RuleBased,0.387575,295.404,7432.88,7437.279813289642,0.07569122314453125,5.511516571044922,,,,
fattree-k16-bfs-ar-128MB,20,0,NodeBfs,3.82058,143.824,7553.46,7562.402607679367,0.36217498779296875,5.784397125244141,,,,
