name,core,rc,routing,init_s,lookup_s,exec_s,wall_s,init_peak_mem_gb,exec_peak_mem_gb,cache_references,cache_misses,cache_miss_rate,perf_file
dragonfly-h6-rb-ar-1MB,31,0,RuleBased,1.71838,48.7979,1897.87,1906.890068769455,0.2791252136230469,8.884586334228516,,,,
dragonfly-h6-bfs-ar-1MB,32,0,NodeBfs,149.392,144.729,2236.61,2407.37793636322,6.5776824951171875,15.210136413574219,,,,
dragonfly-h6-rb-ar-8MB,33,0,RuleBased,1.72698,394.444,10572.3,10580.379402637482,0.27880859375,30.80108642578125,,,,
dragonfly-h6-bfs-ar-8MB,34,0,NodeBfs,146.962,632.634,10945.6,11110.906421661377,6.577640533447266,37.33219909667969,,,,
dragonfly-h6-rb-ar-16MB,35,0,RuleBased,1.7251,632.59,16063.3,16070.964609622955,0.27877044677734375,35.6820182800293,,,,
dragonfly-h6-bfs-ar-16MB,36,0,NodeBfs,147.582,905.806,16495.6,16666.56299138069,6.577720642089844,42.23484802246094,,,,
