name,core,rc,routing,init_s,lookup_s,exec_s,wall_s,init_peak_mem_gb,exec_peak_mem_gb,cache_references,cache_misses,cache_miss_rate,perf_file
fattree-k8-rb-ar-1MB,0,0,RuleBased,0.065438,0.031416,20.8774,25.03958225250244,0.023128509521484375,0.2645988464355469,,,,
fattree-k8-bfs-ar-1MB,1,0,NodeBfs,0.103799,0.111598,20.6559,25.038341522216797,0.02829742431640625,0.2705039978027344,,,,
fattree-k8-rb-ar-8MB,2,0,RuleBased,0.064794,0.680051,76.3665,80.09399843215942,0.023006439208984375,0.7981834411621094,,,,
fattree-k8-bfs-ar-8MB,3,0,NodeBfs,0.103594,0.258064,75.266,80.09277629852295,0.028408050537109375,0.8046188354492188,,,,
fattree-k8-rb-ar-16MB,4,0,RuleBased,0.065291,2.31479,123.186,125.13796472549438,0.02298736572265625,0.8002052307128906,,,,
fattree-k8-bfs-ar-16MB,5,0,NodeBfs,0.103459,0.262546,120.233,125.13675737380981,0.028354644775390625,0.8058547973632812,,,,
fattree-k8-bfs-ar-64MB,7,0,NodeBfs,0.102969,0.37162,384.466,385.40032148361206,0.0283660888671875,0.8137893676757812,,,,
fattree-k8-rb-ar-64MB,6,0,RuleBased,0.065328,11.7913,399.032,400.41747975349426,0.023101806640625,0.8084526062011719,,,,
fattree-k8-bfs-ar-128MB,9,0,NodeBfs,0.103593,1.0003,754.836,755.7759737968445,0.0285797119140625,0.8230323791503906,,,,
fattree-k8-rb-ar-128MB,8,0,RuleBased,0.065433,25.4379,761.86,765.7880227565765,0.02329254150390625,0.8176383972167969,,,,
