case_id,routing,h,g,a,p,dragonfly_hosts,trace_required_hosts,trace_unique_ranks,traffic_trace_flows,packet_size,init_s,exec_s,wall_s,init_peak_mem_gb,exec_peak_mem_gb,rule_based_rules,routing_entries,routing_state_count,applications,forward_count,trace_total_bytes_scanned,trace_min_start_s,trace_max_start_s,source_summary
dragonfly_h5_g51_a10_p5_RuleBased,RuleBased,5,51,10,5,2550,2048,2048,409600,64000,0.435386,1027.780000,1029.987295,0.209442,0.535004,4,0,4,2550,106344073,49705251144,0.000000,0.149462,/users/tartar/Nvwa-artifact/data/experiment_data/experiment_6.csv
dragonfly_h5_g51_a10_p5_NodeBfs,NodeBfs,5,51,10,5,2550,2048,2048,409600,64000,20.034600,1033.570000,1057.821987,1.737801,2.067116,0,8752200,8752200,2550,106303833,49705251144,0.000000,0.149462,/users/tartar/Nvwa-artifact/data/experiment_data/experiment_6.csv
