case_id,h,g,a,p,dragonfly_hosts,routing,rc,traffic_trace,traffic_trace_max_flows,traffic_trace_flows,trace_required_hosts,trace_unique_ranks,trace_max_rank,packet_size,host_num,nodes,rule_based_rules,routing_entries,applications,init_s,exec_s,wall_s,init_peak_mem_kb,exec_peak_mem_kb,exec_peak_mem_gb,forward_count,config,log,cmd
dragonfly_h5_g51_a10_p5_RuleBased,5,51,10,5,2550,RuleBased,0,results/experiment7_atlahs_dragonfly_production_workload_20260628T015258802646276Z/traces/grok.bin.nvwa.csv,0,409600,2048,2048,2047,64000,2550,3060,4,0,2550,0.435386,1027.78,1029.987295,219616,560992,0.535004,106344073,results/experiment7_atlahs_dragonfly_production_workload_20260628T015258802646276Z/configs/dragonfly_h5_g51_a10_p5_100Gbps_1us.json,results/experiment7_atlahs_dragonfly_production_workload_20260628T015258802646276Z/logs/dragonfly_h5_g51_a10_p5_RuleBased.log,Nvwa/build/src/datacenter/examples/ns3-dev-constructor-optimized --config=results/experiment7_atlahs_dragonfly_production_workload_20260628T015258802646276Z/configs/dragonfly_h5_g51_a10_p5_100Gbps_1us.json --routing=RuleBased --trafficPattern=trace --trafficReplayMode=batch --trafficTrace=results/experiment7_atlahs_dragonfly_production_workload_20260628T015258802646276Z/traces/grok.bin.nvwa.csv --trafficTraceMaxFlows=0 --trafficTraceTimeScale=1.0 --trafficStartOffset=1.0 --trafficTraceStopPadding=1.0 --packetSize=64000 --dataRate=100Gbps --memory=true
dragonfly_h5_g51_a10_p5_NodeBfs,5,51,10,5,2550,NodeBfs,0,results/experiment7_atlahs_dragonfly_production_workload_20260628T015258802646276Z/traces/grok.bin.nvwa.csv,0,409600,2048,2048,2047,64000,2550,3060,0,8752200,2550,20.0346,1033.57,1057.821987,1822216,2167528,2.067116,106303833,results/experiment7_atlahs_dragonfly_production_workload_20260628T015258802646276Z/configs/dragonfly_h5_g51_a10_p5_100Gbps_1us.json,results/experiment7_atlahs_dragonfly_production_workload_20260628T015258802646276Z/logs/dragonfly_h5_g51_a10_p5_NodeBfs.log,Nvwa/build/src/datacenter/examples/ns3-dev-constructor-optimized --config=results/experiment7_atlahs_dragonfly_production_workload_20260628T015258802646276Z/configs/dragonfly_h5_g51_a10_p5_100Gbps_1us.json --routing=NodeBfs --trafficPattern=trace --trafficReplayMode=batch --trafficTrace=results/experiment7_atlahs_dragonfly_production_workload_20260628T015258802646276Z/traces/grok.bin.nvwa.csv --trafficTraceMaxFlows=0 --trafficTraceTimeScale=1.0 --trafficStartOffset=1.0 --trafficTraceStopPadding=1.0 --packetSize=64000 --dataRate=100Gbps --memory=true
