case_key,name,group,variant,param_name,param_value,config,routing,rc,init_s,exec_s,wall_s,exec_peak_mem_gb,exec_peak_mem_kb,forward_lookup_count,forward_lookup_total_s,forward_lookup_avg_s
torus_detour2:d=5:nonminimal,torus_detour2-d5-nonminimal,torus_detour2,nonminimal,d,5,torus3d_d5_detour2.json,RuleBased,0,0.027237,8.980680,9.068348,0.134193,140712,1414824,0.686381,0.000001000
torus_detour2:d=5:baseline,torus_detour2-d5-baseline,torus_detour2,baseline,d,5,Nvwa/src/datacenter/examples/inputs/torus3d_d5_detour2_shortest.json,RuleBased,0,0.027207,4.678870,4.796159,0.121357,127252,815304,0.000476,0.000000000
torus_detour1:d=10:nonminimal,torus_detour1-d10-nonminimal,torus_detour1,nonminimal,d,10,torus3d_d10_detour1.json,RuleBased,0,0.174406,179.176000,179.558362,0.986816,1034752,20575632,17.453385,0.000001000
torus_detour1:d=10:baseline,torus_detour1-d10-baseline,torus_detour1,baseline,d,10,Nvwa/src/datacenter/examples/inputs/torus3d_d10_detour1_shortest.json,RuleBased,0,0.173051,125.132000,125.479339,0.897781,941392,16170000,0.046884,0.000000000
torus_detour2:d=10:nonminimal,torus_detour2-d10-nonminimal,torus_detour2,nonminimal,d,10,torus3d_d10_detour2.json,RuleBased,0,0.174367,229.872000,230.286911,0.996407,1044808,26008752,23.249433,0.000001000
torus_detour2:d=10:baseline,torus_detour2-d10-baseline,torus_detour2,baseline,d,10,Nvwa/src/datacenter/examples/inputs/torus3d_d10_detour2_shortest.json,RuleBased,0,0.176075,123.284000,123.633572,0.897686,941292,16170000,0.076187,0.000000000
torus_detour1:d=15:nonminimal,torus_detour1-d15-nonminimal,torus_detour1,nonminimal,d,15,torus3d_d15_detour1.json,RuleBased,0,0.593823,825.699000,827.063957,3.286766,3446424,68600040,70.825357,0.000002000
torus_detour1:d=15:baseline,torus_detour1-d15-baseline,torus_detour1,baseline,d,15,Nvwa/src/datacenter/examples/inputs/torus3d_d15_detour1_shortest.json,RuleBased,0,0.589800,354.301000,355.452372,2.960155,3103948,35091360,0.855527,0.000001000
torus_detour2:d=15:nonminimal,torus_detour2-d15-nonminimal,torus_detour2,nonminimal,d,15,torus3d_d15_detour2.json,RuleBased,0,0.595334,1179.520000,1181.050537,3.328327,3490004,96149664,103.823129,0.000002000
torus_detour2:d=15:baseline,torus_detour2-d15-baseline,torus_detour2,baseline,d,15,Nvwa/src/datacenter/examples/inputs/torus3d_d15_detour2_shortest.json,RuleBased,0,0.590612,346.681000,347.780469,2.960236,3104032,35091360,0.668608,0.000001000
torus_detour1:d=20:nonminimal,torus_detour1-d20-nonminimal,torus_detour1,nonminimal,d,20,torus3d_d20_detour1.json,RuleBased,0,1.461800,3412.900000,3416.722127,7.905113,8289112,222798576,335.221067,0.000002000
torus_detour1:d=20:baseline,torus_detour1-d20-baseline,torus_detour1,baseline,d,20,Nvwa/src/datacenter/examples/inputs/torus3d_d20_detour1_shortest.json,RuleBased,0,1.453510,2436.700000,2440.111097,7.199314,7549028,184800000,60.604322,0.000001000
torus_detour2:d=20:nonminimal,torus_detour2-d20-nonminimal,torus_detour2,nonminimal,d,20,torus3d_d20_detour2.json,RuleBased,0,1.464520,3962.110000,3966.206654,7.945316,8331268,253896720,410.560337,0.000002000
torus_detour2:d=20:baseline,torus_detour2-d20-baseline,torus_detour2,baseline,d,20,Nvwa/src/datacenter/examples/inputs/torus3d_d20_detour2_shortest.json,RuleBased,0,1.465610,2439.850000,2443.288512,7.199612,7549340,184800000,61.334349,0.000001000
