case_id,repeat,routing,k,stage,category,rss_kb,profile_kb,delta_kb,share_pct,detail,pid,start_rss_kb,final_rss_kb,start_profile_kb,final_profile_kb,profiler,total_delta_kb,positive_delta_kb,samples
fattree_k16_NodeBfs_r1,1,NodeBfs,16,template_build,topology_templates,16184,657,0,0.0,templates=3,571707,16184,381424,640,364582,heap_allocated,363942,363942,13
fattree_k16_NodeBfs_r1,1,NodeBfs,16,topology_seed,topology_objects,16184,673,16,0.0,"levels=1,nodes=1",571707,16184,381424,640,364582,heap_allocated,363942,363942,13
fattree_k16_NodeBfs_r1,1,NodeBfs,16,topology_build,topology_objects,74120,57725,57052,15.68,builder.Build,571707,16184,381424,640,364582,heap_allocated,363942,363942,13
fattree_k16_NodeBfs_r1,1,NodeBfs,16,address_registration,address_directory,74648,58286,561,0.15,RegisterAddresses,571707,16184,381424,640,364582,heap_allocated,363942,363942,13
fattree_k16_NodeBfs_r1,1,NodeBfs,16,routing_node_bfs_next_hop_map,node_bfs_routing,253112,236589,178303,48.99,records=3145728,571707,16184,381424,640,364582,heap_allocated,363942,363942,13
fattree_k16_NodeBfs_r1,1,NodeBfs,16,routing_node_bfs_routing_table,node_bfs_routing,376136,359671,123082,33.82,entries=3145728,571707,16184,381424,640,364582,heap_allocated,363942,363942,13
fattree_k16_NodeBfs_r1,1,NodeBfs,16,routing_state,node_bfs_routing,376136,359673,2,0.0,entries=3145728,571707,16184,381424,640,364582,heap_allocated,363942,363942,13
fattree_k16_NodeBfs_r1,1,NodeBfs,16,traffic_grouped_ring_allreduce,traffic_objects,376664,359673,0,0.0,"hosts=1024,flows=14336,group_size=8,placement=strided",571707,16184,381424,640,364582,heap_allocated,363942,363942,13
fattree_k16_NodeBfs_r1,1,NodeBfs,16,applications,traffic_objects,381424,364581,4908,1.35,"hosts=1024,flows=14336,replay=batch",571707,16184,381424,640,364582,heap_allocated,363942,363942,13
fattree_k16_NodeBfs_r1,1,NodeBfs,16,initialization_ready,process,381424,364582,1,0.0,before_simulator_run,571707,16184,381424,640,364582,heap_allocated,363942,363942,13
fattree_k32_NodeBfs_r1,1,NodeBfs,32,program_start,process,16136,640,0,0.0,after_cli_parse,571715,16136,18188224,640,18166183,heap_allocated,18165543,18165543,13
