case_id,repeat,routing,k,stage,category,duration_s,share_pct,accounted,detail,total_s,accounted_s,other_s,samples
fattree_k8_NodeBfs_r1,1,NodeBfs,8,routing_node_bfs_install_entries,node_bfs_detail,0.006715,10.62,no,"routing=NodeBfs,table_destinations=26496,entries=49152",0.063244,0.063225,0.000019,17
fattree_k8_NodeBfs_r1,1,NodeBfs,8,routing_node_bfs_count_entries,node_bfs_detail,0.001102,1.74,no,"routing=NodeBfs,entries=49152",0.063244,0.063225,0.000019,17
fattree_k8_NodeBfs_r1,1,NodeBfs,8,routing_node_bfs_set_ecmp_policy,node_bfs_detail,0.000019,0.03,no,routing=NodeBfs,0.063244,0.063225,0.000019,17
fattree_k8_NodeBfs_r1,1,NodeBfs,8,routing_computation,node_bfs_routing,0.029251,46.25,yes,"routing=NodeBfs,entries=49152",0.063244,0.063225,0.000019,17
fattree_k8_NodeBfs_r1,1,NodeBfs,8,traffic_generation,traffic_objects,0.000016,0.03,yes,"pattern=allreduce,flows=128",0.063244,0.063225,0.000019,17
fattree_k8_NodeBfs_r1,1,NodeBfs,8,application_setup,traffic_objects,0.001442,2.28,yes,"hosts=128,flows=128,replay=batch",0.063244,0.063225,0.000019,17
fattree_k8_NodeBfs_r1,1,NodeBfs,8,other,unaccounted,0.000019,0.03,yes,,0.063244,0.063225,0.000019,17
fattree_k16_NodeBfs_r1,1,NodeBfs,16,config_json,input_config,0.000031,0.00,yes,"bytes=632,templates=3",3.506588,3.506570,0.000018,17
fattree_k16_NodeBfs_r1,1,NodeBfs,16,routing_helper_setup,helper_objects,0.000042,0.00,yes,routing=NodeBfs,3.506588,3.506570,0.000018,17
fattree_k16_NodeBfs_r1,1,NodeBfs,16,template_build,topology_templates,0.000026,0.00,yes,templates=3,3.506588,3.506570,0.000018,17
fattree_k16_NodeBfs_r1,1,NodeBfs,16,topology_build,topology_objects,0.194245,5.54,yes,builder.Build,3.506588,3.506570,0.000018,17
fattree_k16_NodeBfs_r1,1,NodeBfs,16,address_registration,address_directory,0.001454,0.04,yes,RegisterAddresses,3.506588,3.506570,0.000018,17
fattree_k16_NodeBfs_r1,1,NodeBfs,16,routing_node_bfs_calculate_routes,node_bfs_detail,2.659533,75.84,no,"routing=NodeBfs,next_hop_records=3145728",3.506588,3.506570,0.000018,17
fattree_k16_NodeBfs_r1,1,NodeBfs,16,routing_node_bfs_set_routing_entries,node_bfs_detail,0.493929,14.09,no,"routing=NodeBfs,entries=3145728",3.506588,3.506570,0.000018,17
fattree_k16_NodeBfs_r1,1,NodeBfs,16,routing_node_bfs_next_hop_reset,node_bfs_detail,0.000000,0.00,no,routing=NodeBfs,3.506588,3.506570,0.000018,17
fattree_k16_NodeBfs_r1,1,NodeBfs,16,routing_node_bfs_host_index,node_bfs_detail,0.000073,0.00,no,"routing=NodeBfs,sources=1024",3.506588,3.506570,0.000018,17
fattree_k16_NodeBfs_r1,1,NodeBfs,16,routing_node_bfs_bfs,node_bfs_detail,2.659430,75.84,no,"routing=NodeBfs,sources=1024,node_visits=328704,edge_scans=5243904,discoveries=1375232,next_hop_records=3145728,next_hop_src_nodes=1344,next_hop_dst_nodes=1375232",3.506588,3.506570,0.000018,17
fattree_k16_NodeBfs_r1,1,NodeBfs,16,routing_node_bfs_clear_tables,node_bfs_detail,0.000251,0.01,no,"routing=NodeBfs,nodes_visited=1344,protocols_cleared=1344",3.506588,3.506570,0.000018,17
fattree_k16_NodeBfs_r1,1,NodeBfs,16,routing_node_bfs_install_entries,node_bfs_detail,0.493678,14.08,no,"routing=NodeBfs,table_destinations=1375232,entries=3145728",3.506588,3.506570,0.000018,17
fattree_k16_NodeBfs_r1,1,NodeBfs,16,routing_node_bfs_count_entries,node_bfs_detail,0.145355,4.15,no,"routing=NodeBfs,entries=3145728",3.506588,3.506570,0.000018,17
fattree_k16_NodeBfs_r1,1,NodeBfs,16,routing_node_bfs_set_ecmp_policy,node_bfs_detail,0.000219,0.01,no,routing=NodeBfs,3.506588,3.506570,0.000018,17
fattree_k16_NodeBfs_r1,1,NodeBfs,16,routing_computation,node_bfs_routing,3.299080,94.08,yes,"routing=NodeBfs,entries=3145728",3.506588,3.506570,0.000018,17
fattree_k16_NodeBfs_r1,1,NodeBfs,16,traffic_generation,traffic_objects,0.000032,0.00,yes,"pattern=allreduce,flows=1024",3.506588,3.506570,0.000018,17
fattree_k16_NodeBfs_r1,1,NodeBfs,16,application_setup,traffic_objects,0.011659,0.33,yes,"hosts=1024,flows=1024,replay=batch",3.506588,3.506570,0.000018,17
fattree_k16_NodeBfs_r1,1,NodeBfs,16,other,unaccounted,0.000018,0.00,yes,,3.506588,3.506570,0.000018,17
